"","LIVER","TransferredDose_ PBS_field1"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","57.93754"
"0.20","56.4668"
"0.30","55.53145"
"0.40","54.84891"
"0.50","54.27768"
"0.60","53.7654"
"0.70","53.34578"
"0.80","52.97813"
"0.90","52.63265"
"1.00","52.30226"
"1.10","51.98546"
"1.20","51.68637"
"1.30","51.41229"
"1.40","51.16251"
"1.50","50.9222"
"1.60","50.71131"
"1.70","50.50758"
"1.80","50.31833"
"1.90","50.13775"
"2.00","49.96058"
"2.10","49.75661"
"2.20","49.58781"
"2.30","49.40996"
"2.40","49.25159"
"2.50","49.09503"
"2.60","48.93682"
"2.70","48.78377"
"2.80","48.63969"
"2.90","48.50238"
"3.00","48.36052"
"3.10","48.21459"
"3.20","48.08663"
"3.30","47.96314"
"3.40","47.84238"
"3.50","47.72352"
"3.60","47.6072"
"3.70","47.49303"
"3.80","47.3684"
"3.90","47.25262"
"4.00","47.14169"
"4.10","47.03379"
"4.20","46.9263"
"4.30","46.8211"
"4.40","46.71605"
"4.50","46.61274"
"4.60","46.50376"
"4.70","46.40122"
"4.80","46.30191"
"4.90","46.2026"
"5.00","46.10551"
"5.10","46.01099"
"5.20","45.91906"
"5.30","45.83015"
"5.40","45.74159"
"5.50","45.65086"
"5.60","45.55444"
"5.70","45.44687"
"5.80","45.33402"
"5.90","45.24723"
"6.00","45.16023"
"6.10","45.06966"
"6.20","44.98201"
"6.30","44.90151"
"6.40","44.82193"
"6.50","44.7405"
"6.60","44.66103"
"6.70","44.57907"
"6.80","44.49714"
"6.90","44.41608"
"7.00","44.3282"
"7.10","44.24839"
"7.20","44.16864"
"7.30","44.08835"
"7.40","44.00658"
"7.50","43.92338"
"7.60","43.83856"
"7.70","43.73868"
"7.80","43.65638"
"7.90","43.57795"
"8.00","43.49981"
"8.10","43.42074"
"8.20","43.34442"
"8.30","43.26369"
"8.40","43.1866"
"8.50","43.11639"
"8.60","43.04569"
"8.70","42.97599"
"8.80","42.90526"
"8.90","42.83502"
"9.00","42.7653"
"9.10","42.69419"
"9.20","42.6232"
"9.30","42.55205"
"9.40","42.48043"
"9.50","42.40803"
"9.60","42.33716"
"9.70","42.265"
"9.80","42.19179"
"9.90","42.08281"
"10.00","42.01038"
"10.10","41.93721"
"10.20","41.86401"
"10.30","41.79164"
"10.40","41.72192"
"10.50","41.65131"
"10.60","41.57933"
"10.70","41.48897"
"10.80","41.41639"
"10.90","41.34446"
"11.00","41.27072"
"11.10","41.18852"
"11.20","41.1167"
"11.30","41.04338"
"11.40","40.96724"
"11.50","40.89432"
"11.60","40.8214"
"11.70","40.74537"
"11.80","40.67246"
"11.90","40.5997"
"12.00","40.5232"
"12.10","40.44942"
"12.20","40.37483"
"12.30","40.30002"
"12.40","40.22171"
"12.50","40.12524"
"12.60","40.04997"
"12.70","39.9759"
"12.80","39.90235"
"12.90","39.82933"
"13.00","39.74847"
"13.10","39.67346"
"13.20","39.60027"
"13.30","39.52605"
"13.40","39.45339"
"13.50","39.37245"
"13.60","39.29711"
