"","LIVER","TransferredDose_PBS_Field2"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","58.2259"
"0.20","56.67334"
"0.30","55.70051"
"0.40","54.87433"
"0.50","54.23971"
"0.60","53.68557"
"0.70","53.20221"
"0.80","52.75527"
"0.90","52.31694"
"1.00","51.94085"
"1.10","51.60546"
"1.20","51.29172"
"1.30","50.97908"
"1.40","50.70542"
"1.50","50.44146"
"1.60","50.16584"
"1.70","49.91097"
"1.80","49.6792"
"1.90","49.43319"
"2.00","49.18302"
"2.10","48.95392"
"2.20","48.74583"
"2.30","48.54304"
"2.40","48.33592"
"2.50","48.14637"
"2.60","47.9667"
"2.70","47.79518"
"2.80","47.62675"
"2.90","47.45766"
"3.00","47.29446"
"3.10","47.13864"
"3.20","46.98719"
"3.30","46.83927"
"3.40","46.69302"
"3.50","46.54841"
"3.60","46.40276"
"3.70","46.23945"
"3.80","46.06208"
"3.90","45.92713"
"4.00","45.79452"
"4.10","45.6636"
"4.20","45.53553"
"4.30","45.40919"
"4.40","45.28428"
"4.50","45.16123"
"4.60","45.03793"
"4.70","44.90518"
"4.80","44.78425"
"4.90","44.66546"
"5.00","44.54681"
"5.10","44.41796"
"5.20","44.29342"
"5.30","44.17732"
"5.40","44.06527"
"5.50","43.95475"
"5.60","43.84612"
"5.70","43.73873"
"5.80","43.63035"
"5.90","43.52449"
"6.00","43.41829"
"6.10","43.31159"
"6.20","43.19762"
"6.30","43.09077"
"6.40","42.98832"
"6.50","42.88656"
"6.60","42.78568"
"6.70","42.68476"
"6.80","42.572"
"6.90","42.47487"
"7.00","42.3762"
"7.10","42.28052"
"7.20","42.18079"
"7.30","42.08399"
"7.40","41.98783"
"7.50","41.89037"
"7.60","41.79427"
"7.70","41.69896"
"7.80","41.60306"
"7.90","41.50431"
"8.00","41.39135"
"8.10","41.29622"
"8.20","41.20251"
"8.30","41.09678"
"8.40","41.00354"
"8.50","40.91142"
"8.60","40.81751"
"8.70","40.72542"
"8.80","40.63357"
"8.90","40.54347"
"9.00","40.45406"
"9.10","40.36534"
"9.20","40.27565"
"9.30","40.17695"
"9.40","40.0878"
"9.50","39.99842"
"9.60","39.90827"
"9.70","39.8195"
"9.80","39.72722"
"9.90","39.64087"
"10.00","39.5554"
"10.10","39.46794"
"10.20","39.36877"
"10.30","39.28537"
"10.40","39.20123"
"10.50","39.11481"
"10.60","39.02995"
"10.70","38.94534"
"10.80","38.85987"
"10.90","38.77536"
"11.00","38.67539"
"11.10","38.58859"
"11.20","38.50267"
"11.30","38.41724"
"11.40","38.33102"
"11.50","38.23556"
"11.60","38.14237"
"11.70","38.05466"
"11.80","37.96761"
"11.90","37.88144"
"12.00","37.79496"
"12.10","37.70836"
"12.20","37.62184"
"12.30","37.52611"
"12.40","37.43899"
"12.50","37.35148"
"12.60","37.26448"
"12.70","37.17711"
"12.80","37.08794"
"12.90","36.99531"
"13.00","36.90799"
