"","LIVER","TransferredDose_VMAT1arc"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","100.0"
"0.20","100.0"
"0.30","100.0"
"0.40","100.0"
"0.50","100.0"
"0.60","99.99893"
"0.70","99.96065"
"0.80","99.84758"
"0.90","99.61395"
"1.00","99.26481"
"1.10","98.84566"
"1.20","98.3648"
"1.30","97.78321"
"1.40","97.1146"
"1.50","96.47365"
"1.60","95.8355"
"1.70","95.19624"
"1.80","94.5412"
"1.90","93.85077"
"2.00","93.22909"
"2.10","92.60025"
"2.20","91.98366"
"2.30","91.35479"
"2.40","90.77449"
"2.50","90.19453"
"2.60","89.62574"
"2.70","89.11334"
"2.80","88.57343"
"2.90","88.05349"
"3.00","87.54117"
"3.10","87.03539"
"3.20","86.48642"
"3.30","85.97158"
"3.40","85.48626"
"3.50","84.9914"
"3.60","84.49337"
"3.70","83.98279"
"3.80","83.49821"
"3.90","83.0354"
"4.00","82.5625"
"4.10","82.05634"
"4.20","81.56341"
"4.30","81.056"
"4.40","80.56509"
"4.50","80.09774"
"4.60","79.61215"
"4.70","79.15016"
"4.80","78.70523"
"4.90","78.25745"
"5.00","77.78787"
"5.10","77.33451"
"5.20","76.9228"
"5.30","76.49682"
"5.40","76.05914"
"5.50","75.64065"
"5.60","75.23434"
"5.70","74.83936"
"5.80","74.45389"
"5.90","74.06315"
"6.00","73.68298"
"6.10","73.3208"
"6.20","72.96387"
"6.30","72.61155"
"6.40","72.25807"
"6.50","71.92353"
"6.60","71.5817"
"6.70","71.2386"
"6.80","70.89221"
"6.90","70.54904"
"7.00","70.22441"
"7.10","69.91878"
"7.20","69.61308"
"7.30","69.30672"
"7.40","68.99071"
"7.50","68.65527"
"7.60","68.32689"
"7.70","67.99168"
"7.80","67.64519"
"7.90","67.28532"
"8.00","66.92914"
"8.10","66.5856"
"8.20","66.25297"
"8.30","65.93135"
"8.40","65.62386"
"8.50","65.31629"
"8.60","65.01773"
"8.70","64.72228"
"8.80","64.42244"
"8.90","64.12499"
"9.00","63.83852"
"9.10","63.55765"
"9.20","63.28178"
"9.30","63.01787"
"9.40","62.75537"
