"","LIVER, MALE2","TransferredDose_IMRT_F1","LIVER, MALE2","TransferredDose_IMRT_F1"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0","100.0"
"0.10","100.0","100.0"
"0.20","98.12019","98.12019"
"0.30","95.70758","95.70758"
"0.40","91.74216","91.74216"
"0.50","88.43057","88.43057"
"0.60","86.07653","86.07653"
"0.70","84.40539","84.40539"
"0.80","83.16417","83.16417"
"0.90","82.14304","82.14304"
"1.00","81.2452","81.2452"
"1.10","80.40952","80.40952"
"1.20","79.62787","79.62787"
"1.30","78.88348","78.88348"
"1.40","78.1362","78.1362"
"1.50","77.30454","77.30454"
"1.60","76.26406","76.26406"
"1.70","74.95733","74.95733"
"1.80","73.41493","73.41493"
"1.90","71.49758","71.49758"
"2.00","69.39598","69.39598"
"2.10","67.16098","67.16098"
"2.20","64.82899","64.82899"
"2.30","62.47465","62.47465"
"2.40","60.08338","60.08338"
"2.50","57.67655","57.67655"
"2.60","55.28632","55.28632"
"2.70","52.92147","52.92147"
"2.80","50.63226","50.63226"
"2.90","48.37571","48.37571"
"3.00","46.13215","46.13215"
"3.10","43.87595","43.87595"
"3.20","41.56726","41.56726"
"3.30","39.27566","39.27566"
"3.40","36.98678","36.98678"
"3.50","34.74672","34.74672"
"3.60","32.64051","32.64051"
"3.70","30.65307","30.65307"
"3.80","28.80013","28.80013"
"3.90","27.06792","27.06792"
"4.00","25.42045","25.42045"
"4.10","23.86795","23.86795"
"4.20","22.46811","22.46811"
"4.30","21.18178","21.18178"
"4.40","19.96104","19.96104"
"4.50","18.79361","18.79361"
"4.60","17.68612","17.68612"
"4.70","16.62882","16.62882"
"4.80","15.62926","15.62926"
"4.90","14.67154","14.67154"
"5.00","13.75895","13.75895"
"5.10","12.89286","12.89286"
"5.20","12.09788","12.09788"
"5.30","11.37818","11.37818"
"5.40","10.73407","10.73407"
"5.50","10.17319","10.17319"
"5.60","9.6995","9.6995"
"5.70","9.27076","9.27076"
"5.80","8.86851","8.86851"
"5.90","8.48651","8.48651"
"6.00","8.12248","8.12248"
"6.10","7.76184","7.76184"
"6.20","7.42884","7.42884"
"6.30","7.10959","7.10959"
"6.40","6.80166","6.80166"
"6.50","6.50381","6.50381"
"6.60","6.22129","6.22129"
"6.70","5.94991","5.94991"
"6.80","5.68587","5.68587"
"6.90","5.43428","5.43428"
"7.00","5.19438","5.19438"
"7.10","4.9657","4.9657"
"7.20","4.74241","4.74241"
"7.30","4.53149","4.53149"
"7.40","4.32826","4.32826"
"7.50","4.13411","4.13411"
"7.60","3.952","3.952"
"7.70","3.77589","3.77589"
"7.80","3.6064","3.6064"
"7.90","3.44462","3.44462"
"8.00","3.28944","3.28944"
"8.10","3.14402","3.14402"
"8.20","3.01288","3.01288"
"8.30","2.89034","2.89034"
"8.40","2.77782","2.77782"
"8.50","2.67181","2.67181"
"8.60","2.57361","2.57361"
"8.70","2.48275","2.48275"
"8.80","2.3962","2.3962"
"8.90","2.31374","2.31374"
"9.00","2.2326","2.2326"
"9.10","2.1517","2.1517"
"9.20","2.07223","2.07223"
"9.30","1.99392","1.99392"
"9.40","1.91396","1.91396"
"9.50","1.83503","1.83503"
"9.60","1.758","1.758"
"9.70","1.68182","1.68182"
"9.80","1.60725","1.60725"
"9.90","1.53275","1.53275"
"10.00","1.45908","1.45908"
"10.10","1.38905","1.38905"
"10.20","1.32222","1.32222"
"10.30","1.2596","1.2596"
"10.40","1.19885","1.19885"
"10.50","1.13881","1.13881"
"10.60","1.07929","1.07929"
"10.70","1.02132","1.02132"
"10.80","0.96553","0.96553"
"10.90","0.91178","0.91178"
"11.00","0.85966","0.85966"
"11.10","0.80933","0.80933"
"11.20","0.76009","0.76009"
"11.30","0.71352","0.71352"
"11.40","0.66876","0.66876"
"11.50","0.62566","0.62566"
"11.60","0.58505","0.58505"
"11.70","0.54533","0.54533"
"11.80","0.50784","0.50784"
"11.90","0.47071","0.47071"
"12.00","0.43672","0.43672"
"12.10","0.40432","0.40432"
"12.20","0.37215","0.37215"
"12.30","0.3418","0.3418"
"12.40","0.3135","0.3135"
"12.50","0.28619","0.28619"
"12.60","0.25927","0.25927"
"12.70","0.23449","0.23449"
"12.80","0.21072","0.21072"
"12.90","0.18973","0.18973"
"13.00","0.17085","0.17085"
"13.10","0.15258","0.15258"
"13.20","0.13554","0.13554"
"13.30","0.11939","0.11939"
"13.40","0.10434","0.10434"
"13.50","0.0891","0.0891"
"13.60","0.07574","0.07574"
"13.70","0.06379","0.06379"
"13.80","0.05318","0.05318"
"13.90","0.04461","0.04461"
"14.00","0.03686","0.03686"
"14.10","0.03042","0.03042"
"14.20","0.02436","0.02436"
"14.30","0.01848","0.01848"
"14.40","0.01295","0.01295"
"14.50","0.00915","0.00915"
"14.60","0.00579","0.00579"
"14.70","0.00308","0.00308"
"14.80","0.00117","0.00117"
"14.90","3.3E-4","3.3E-4"
"15.00","5.0E-5","5.0E-5"
"15.10","0.0","0.0"
