"","LIVER, MALE2","TransferredDose_IMRT_F6"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","99.89948"
"0.20","99.64175"
"0.30","98.33561"
"0.40","96.838"
"0.50","95.44336"
"0.60","94.13964"
"0.70","92.67779"
"0.80","91.01585"
"0.90","89.41632"
"1.00","87.98115"
"1.10","86.69553"
"1.20","85.54504"
"1.30","84.5493"
"1.40","83.69433"
"1.50","82.97645"
"1.60","82.37185"
"1.70","81.84976"
"1.80","81.39198"
"1.90","80.97632"
"2.00","80.5951"
"2.10","80.23649"
"2.20","79.9004"
"2.30","79.57711"
"2.40","79.26652"
"2.50","78.9659"
"2.60","78.67034"
"2.70","78.38622"
"2.80","78.10583"
"2.90","77.82196"
"3.00","77.53653"
"3.10","77.24748"
"3.20","76.95206"
"3.30","76.64736"
"3.40","76.33622"
"3.50","76.01962"
"3.60","75.69544"
"3.70","75.37178"
"3.80","75.03378"
"3.90","74.676"
"4.00","74.30549"
"4.10","73.92923"
"4.20","73.54294"
"4.30","73.14705"
"4.40","72.72762"
"4.50","72.23154"
"4.60","71.68691"
"4.70","71.07009"
"4.80","70.27996"
"4.90","69.27388"
"5.00","68.06912"
"5.10","66.67107"
"5.20","65.24384"
"5.30","63.83321"
"5.40","62.42291"
"5.50","61.02119"
"5.60","59.63449"
"5.70","58.2566"
"5.80","56.88757"
"5.90","55.53604"
"6.00","54.18868"
"6.10","52.83197"
"6.20","51.40915"
"6.30","50.04692"
"6.40","48.74789"
"6.50","47.5131"
"6.60","46.31695"
"6.70","45.17046"
"6.80","44.07876"
"6.90","43.04896"
"7.00","42.06004"
"7.10","41.10345"
"7.20","40.18134"
"7.30","39.2832"
"7.40","38.39509"
"7.50","37.52013"
"7.60","36.6671"
"7.70","35.82983"
"7.80","35.00792"
"7.90","34.21085"
"8.00","33.43033"
"8.10","32.65929"
"8.20","31.87532"
"8.30","31.08191"
"8.40","30.2598"
"8.50","29.43357"
"8.60","28.59634"
"8.70","27.75378"
"8.80","26.89661"
"8.90","26.01789"
"9.00","25.10227"
"9.10","24.1592"
"9.20","23.23859"
"9.30","22.33528"
"9.40","21.49314"
"9.50","20.67841"
"9.60","19.89514"
"9.70","19.13454"
"9.80","18.39448"
"9.90","17.68204"
"10.00","16.99244"
"10.10","16.34189"
"10.20","15.71481"
"10.30","15.10497"
"10.40","14.50811"
"10.50","13.93207"
"10.60","13.36672"
"10.70","12.81252"
"10.80","12.27143"
"10.90","11.75346"
"11.00","11.25601"
"11.10","10.77813"
"11.20","10.31896"
"11.30","9.87431"
"11.40","9.44254"
"11.50","9.03126"
"11.60","8.63238"
"11.70","8.24604"
"11.80","7.86662"
"11.90","7.5007"
"12.00","7.15304"
"12.10","6.82083"
"12.20","6.49777"
"12.30","6.18608"
"12.40","5.8883"
"12.50","5.60122"
"12.60","5.31912"
"12.70","5.04205"
"12.80","4.77233"
"12.90","4.51109"
"13.00","4.26041"
"13.10","4.01651"
"13.20","3.77942"
"13.30","3.55002"
"13.40","3.327"
"13.50","3.11268"
"13.60","2.90753"
"13.70","2.70747"
"13.80","2.51465"
"13.90","2.33089"
"14.00","2.15825"
"14.10","1.99472"
"14.20","1.84058"
"14.30","1.69542"
"14.40","1.55804"
"14.50","1.4299"
"14.60","1.31018"
"14.70","1.19903"
"14.80","1.09559"
"14.90","0.99869"
"15.00","0.90669"
"15.10","0.81807"
"15.20","0.73566"
"15.30","0.65762"
"15.40","0.58402"
"15.50","0.51442"
"15.60","0.44893"
"15.70","0.38706"
"15.80","0.32826"
"15.90","0.27408"
"16.00","0.22406"
"16.10","0.17812"
"16.20","0.13627"
"16.30","0.1031"
"16.40","0.07967"
"16.50","0.06234"
"16.60","0.04744"
"16.70","0.03503"
"16.80","0.02485"
"16.90","0.01686"
"17.00","0.01051"
"17.10","0.00667"
"17.20","0.00442"
"17.30","0.0031"
"17.40","0.00214"
"17.50","0.00148"
"17.60","8.4E-4"
"17.70","4.2E-4"
"17.80","2.1E-4"
"17.90","1.2E-4"
"18.00","6.0E-5"
"18.10","2.0E-5"
"18.20","0.0"
