,"LIVER, MALE2",TransferredDose_PBS_F3_ScaledLQ
Absolute Dose(Gy),Liver (Volume: 2225.8 mL),
0,100,
0.1,16.4619,
0.2,15.80775,
0.3,15.42153,
0.4,15.14231,
0.5,14.9185,
0.6,14.72813,
0.7,14.56054,
0.8,14.41129,
0.9,14.27328,
1,14.15497,
1.1,14.04637,
1.2,13.94921,
1.3,13.86208,
1.4,13.78007,
1.5,13.70333,
1.6,13.63054,
1.7,13.56166,
1.8,13.49582,
1.9,13.43402,
2,13.37513,
2.1,13.31726,
2.2,13.26269,
2.3,13.21034,
2.4,13.15898,
2.5,13.10946,
2.6,13.06123,
2.7,13.0108,
2.8,12.95976,
2.9,12.91161,
3,12.86474,
3.1,12.81882,
3.2,12.77173,
3.3,12.72819,
3.4,12.6877,
3.5,12.64852,
3.6,12.60983,
3.7,12.5729,
3.8,12.53635,
3.9,12.50251,
4,12.47026,
4.1,12.43843,
4.2,12.40632,
4.3,12.37526,
4.4,12.34489,
4.5,12.31521,
4.6,12.28542,
4.7,12.25603,
4.8,12.22774,
4.9,12.1999,
5,12.17234,
5.1,12.14511,
5.2,12.11784,
5.3,12.0909,
5.4,12.06498,
5.5,12.03951,
5.6,12.01395,
5.7,11.98907,
5.8,11.9644,
5.9,11.94012,
6,11.91581,
6.1,11.89196,
6.2,11.86836,
6.3,11.8447,
6.4,11.82107,
6.5,11.79838,
6.6,11.77509,
6.7,11.75291,
6.8,11.73026,
6.9,11.70757,
7,11.68554,
7.1,11.66364,
7.2,11.64166,
7.3,11.62,
7.4,11.59792,
7.5,11.57601,
7.6,11.55383,
7.7,11.52994,
7.8,11.50441,
7.9,11.47901,
8,11.45271,
8.1,11.42919,
8.2,11.40793,
8.3,11.38805,
8.4,11.36722,
8.5,11.34712,
8.6,11.32773,
8.7,11.30823,
8.8,11.28838,
8.9,11.26871,
9,11.24885,
9.1,11.22999,
9.2,11.21096,
9.3,11.19237,
9.4,11.17359,
9.5,11.15539,
9.6,11.13665,
9.7,11.11813,
9.8,11.09966,
9.9,11.08206,
10,11.065,
10.1,11.04803,
10.2,11.03092,
10.3,11.01407,
10.4,10.99715,
10.5,10.98049,
10.6,10.96385,
10.7,10.94713,
10.8,10.93061,
10.9,10.91425,
11,10.89802,
11.1,10.88134,
11.2,10.86555,
11.3,10.84902,
11.4,10.83244,
11.5,10.81676,
11.6,10.80051,
11.7,10.78468,
11.8,10.76884,
11.9,10.75267,
12,10.73662,
12.1,10.72101,
12.2,10.70543,
12.3,10.68955,
12.4,10.6742,
12.5,10.65815,
12.6,10.64266,
12.7,10.6273,
12.8,10.61181,
12.9,10.59646,
13,10.58144,
13.1,10.5662,
13.2,10.55088,
13.3,10.53553,
13.4,10.52064,
13.5,10.50556,
13.6,10.49034,
13.7,10.47507,
13.8,10.46023,
13.9,10.44557,
14,10.43023,
14.1,10.41534,
14.2,10.40073,
14.3,10.38605,
14.4,10.37106,
14.5,10.35631,
14.6,10.34148,
14.7,10.32695,
14.8,10.31174,
