"","LIVER, MALE2","TransferredDose_SOBP_F4"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","12.89239"
"0.20","12.52498"
"0.30","12.30654"
"0.40","12.15279"
"0.50","12.02864"
"0.60","11.92581"
"0.70","11.83851"
"0.80","11.76008"
"0.90","11.6885"
"1.00","11.62309"
"1.10","11.56338"
"1.20","11.50799"
"1.30","11.45758"
"1.40","11.41108"
"1.50","11.36639"
"1.60","11.32442"
"1.70","11.28518"
"1.80","11.24822"
"1.90","11.21334"
"2.00","11.17947"
"2.10","11.14659"
"2.20","11.11554"
"2.30","11.08679"
"2.40","11.05819"
"2.50","11.03104"
"2.60","11.00392"
"2.70","10.97762"
"2.80","10.95263"
"2.90","10.9286"
"3.00","10.90513"
"3.10","10.88182"
"3.20","10.85873"
"3.30","10.83719"
"3.40","10.81559"
"3.50","10.79472"
"3.60","10.77478"
"3.70","10.75506"
"3.80","10.73562"
"3.90","10.71637"
"4.00","10.69795"
"4.10","10.68008"
"4.20","10.66232"
"4.30","10.64479"
"4.40","10.62788"
"4.50","10.61077"
"4.60","10.59448"
"4.70","10.57842"
"4.80","10.56224"
"4.90","10.54711"
"5.00","10.53199"
"5.10","10.51678"
"5.20","10.50176"
"5.30","10.48686"
"5.40","10.47248"
"5.50","10.45847"
"5.60","10.4445"
"5.70","10.43066"
"5.80","10.41739"
"5.90","10.40415"
"6.00","10.39118"
"6.10","10.37818"
"6.20","10.36551"
"6.30","10.35232"
"6.40","10.33965"
"6.50","10.3275"
"6.60","10.31495"
"6.70","10.30284"
"6.80","10.29011"
"6.90","10.27864"
"7.00","10.26717"
"7.10","10.25616"
"7.20","10.24497"
"7.30","10.234"
"7.40","10.22273"
"7.50","10.2113"
"7.60","10.20051"
"7.70","10.18956"
"7.80","10.17863"
"7.90","10.168"
"8.00","10.15759"
"8.10","10.14727"
"8.20","10.13721"
"8.30","10.1269"
"8.40","10.11701"
"8.50","10.10688"
"8.60","10.09696"
"8.70","10.08679"
"8.80","10.07699"
"8.90","10.06737"
"9.00","10.05788"
"9.10","10.0485"
"9.20","10.03933"
"9.30","10.03002"
"9.40","10.02053"
"9.50","10.01133"
"9.60","10.00215"
"9.70","9.99322"
"9.80","9.98421"
"9.90","9.97528"
"10.00","9.96629"
"10.10","9.95724"
"10.20","9.94852"
"10.30","9.94005"
"10.40","9.93153"
"10.50","9.92343"
"10.60","9.91499"
"10.70","9.90681"
"10.80","9.89889"
"10.90","9.89063"
"11.00","9.8824"
"11.10","9.87441"
"11.20","9.86655"
"11.30","9.85842"
"11.40","9.8504"
"11.50","9.8428"
"11.60","9.83513"
"11.70","9.82725"
"11.80","9.81955"
"11.90","9.81184"
"12.00","9.80436"
"12.10","9.7968"
"12.20","9.78955"
"12.30","9.78212"
"12.40","9.77506"
"12.50","9.76776"
"12.60","9.7603"
"12.70","9.75311"
"12.80","9.74614"
"12.90","9.73879"
"13.00","9.73167"
"13.10","9.72476"
"13.20","9.71764"
"13.30","9.71074"
"13.40","9.70345"
"13.50","9.69648"
"13.60","9.68957"
"13.70","9.6828"
"13.80","9.6758"
"13.90","9.66912"
"14.00","9.66265"
"14.10","9.65592"
"14.20","9.64962"
"14.30","9.64316"
"14.40","9.63658"
"14.50","9.63009"
"14.60","9.62402"
"14.70","9.61746"
"14.80","9.61111"
"14.90","9.60482"
"15.00","9.59854"
"15.10","9.59194"
"15.20","9.58578"
"15.30","9.57925"
"15.40","9.57298"
"15.50","9.56674"
"15.60","9.56055"
"15.70","9.55459"
"15.80","9.54843"
"15.90","9.54213"
"16.00","9.53573"
"16.10","9.52978"
"16.20","9.52369"
"16.30","9.51768"
"16.40","9.51209"
"16.50","9.50606"
"16.60","9.49997"
"16.70","9.4944"
"16.80","9.48849"
"16.90","9.48282"
"17.00","9.47694"
"17.10","9.47108"
"17.20","9.46535"
"17.30","9.46"
"17.40","9.45415"
"17.50","9.4485"
"17.60","9.44318"
"17.70","9.43746"
