"","LIVER, MALE2","TransferredDose_VMAT_1arc"
"Absolute Dose(Gy)","Liver (1) (Volume: 2225.8 mL)"
"0.00","100.0"
"0.10","100.0"
"0.20","100.0"
"0.30","100.0"
"0.40","100.0"
"0.50","100.0"
"0.60","100.0"
"0.70","100.0"
"0.80","100.0"
"0.90","100.0"
"1.00","100.0"
"1.10","100.0"
"1.20","100.0"
"1.30","100.0"
"1.40","100.0"
"1.50","100.0"
"1.60","100.0"
"1.70","100.0"
"1.80","99.99941"
"1.90","99.98896"
"2.00","99.97521"
"2.10","99.95366"
"2.20","99.93436"
"2.30","99.90127"
"2.40","99.8712"
"2.50","99.84183"
"2.60","99.80581"
"2.70","99.77011"
"2.80","99.73266"
"2.90","99.69048"
"3.00","99.64536"
"3.10","99.59632"
"3.20","99.55209"
"3.30","99.50918"
"3.40","99.46439"
"3.50","99.41874"
"3.60","99.37173"
"3.70","99.31802"
"3.80","99.26231"
"3.90","99.19992"
"4.00","99.13855"
"4.10","99.07398"
"4.20","99.00865"
"4.30","98.94918"
"4.40","98.89303"
"4.50","98.83512"
"4.60","98.78149"
"4.70","98.72503"
"4.80","98.66756"
"4.90","98.60814"
"5.00","98.5499"
"5.10","98.48755"
"5.20","98.42426"
"5.30","98.36209"
"5.40","98.30063"
"5.50","98.23973"
"5.60","98.18092"
"5.70","98.1191"
"5.80","98.05405"
"5.90","97.98553"
"6.00","97.90909"
"6.10","97.82813"
"6.20","97.73849"
"6.30","97.64188"
"6.40","97.54054"
"6.50","97.43648"
"6.60","97.32683"
"6.70","97.21246"
"6.80","97.09386"
"6.90","96.97671"
"7.00","96.8587"
"7.10","96.74254"
"7.20","96.62515"
"7.30","96.50045"
"7.40","96.37099"
"7.50","96.24543"
"7.60","96.1251"
"7.70","95.99352"
"7.80","95.86187"
"7.90","95.73039"
"8.00","95.59376"
"8.10","95.45655"
"8.20","95.32151"
"8.30","95.18538"
"8.40","95.05163"
"8.50","94.92074"
"8.60","94.7927"
"8.70","94.66082"
"8.80","94.52592"
"8.90","94.39365"
"9.00","94.2606"
"9.10","94.1197"
"9.20","93.97108"
"9.30","93.82107"
"9.40","93.66344"
